                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.89008,                0.42636,                 1.1422,                0.97243,                0.99156,                0.98545,                0.83716,                0.70232,                0.32597,                  1.055,               0.004159,               0.004159,               0.004159
                     62,                0.90038,                0.43236,                 1.1483,                0.97286,                0.98866,                 0.9836,                0.82128,                0.73775,                0.34928,                 1.0857,                0.00406,                0.00406,                0.00406
                     63,                0.89321,                0.42969,                 1.1507,                 0.9665,                0.97884,                0.98279,                0.83107,                0.71357,                0.35436,                 1.0711,               0.003961,               0.003961,               0.003961
                     64,                0.87727,                0.42202,                 1.1343,                0.94051,                0.96621,                0.97826,                0.83303,                0.69092,                0.37954,                 1.0563,               0.003862,               0.003862,               0.003862
                     65,                0.89696,                0.42977,                 1.1444,                0.96322,                 0.9842,                 0.9851,                 0.8254,                  0.712,                0.34748,                 1.0722,               0.003763,               0.003763,               0.003763
                     66,                0.88199,                0.42212,                 1.1338,                0.96814,                  0.983,                0.98412,                0.83498,                0.70139,                0.34117,                 1.0548,               0.003664,               0.003664,               0.003664
                     67,                0.88851,                0.42406,                  1.139,                0.96718,                0.98641,                0.98334,                0.83859,                0.69777,                0.33922,                 1.0556,               0.003565,               0.003565,               0.003565
                     68,                0.87614,                0.41591,                   1.14,                0.97485,                 0.9885,                0.98238,                  0.837,                0.69422,                0.31933,                 1.0534,               0.003466,               0.003466,               0.003466
                     69,                0.88798,                0.42286,                 1.1447,                0.96422,                0.98155,                0.98132,                0.82601,                0.70703,                0.34969,                 1.0638,               0.003367,               0.003367,               0.003367
                     70,                0.88246,                0.41974,                  1.149,                0.96534,                0.98615,                0.98366,                0.82846,                0.71148,                0.32241,                 1.0712,               0.003268,               0.003268,               0.003268
                     71,                0.87714,                0.41739,                 1.1326,                0.97637,                 0.9876,                0.98126,                0.83325,                0.69952,                0.32038,                 1.0584,               0.003169,               0.003169,               0.003169
                     72,                0.87753,                0.41049,                  1.137,                0.96342,                0.97553,                0.98582,                0.83533,                0.70607,                0.33472,                 1.0661,                0.00307,                0.00307,                0.00307
                     73,                0.87879,                0.41553,                  1.144,                0.97734,                0.98828,                0.98432,                0.83403,                0.70829,                 0.3139,                 1.0719,               0.002971,               0.002971,               0.002971
                     74,                0.87877,                0.41267,                 1.1368,                 0.9783,                0.98667,                0.98374,                0.83645,                 0.6913,                 0.3269,                 1.0579,               0.002872,               0.002872,               0.002872
                     75,                0.87383,                0.41089,                 1.1396,                 0.9759,                0.98124,                0.98524,                0.83238,                0.70476,                0.32806,                 1.0647,               0.002773,               0.002773,               0.002773
                     76,                0.87333,                 0.3996,                  1.141,                0.97767,                0.98422,                0.98396,                0.83549,                0.69766,                0.31147,                 1.0536,               0.002674,               0.002674,               0.002674
                     77,                0.86752,                0.40161,                 1.1274,                0.97803,                0.99173,                0.98482,                 0.8343,                0.70085,                 0.3085,                  1.059,               0.002575,               0.002575,               0.002575
                     78,                 0.8684,                  0.407,                 1.1342,                0.97077,                0.98936,                0.98594,                0.83759,                0.69631,                0.32105,                 1.0583,               0.002476,               0.002476,               0.002476
                     79,                0.87766,                0.40853,                 1.1332,                0.98026,                0.99294,                0.98539,                0.83685,                0.70061,                0.30352,                   1.06,               0.002377,               0.002377,               0.002377
                     80,                0.86648,                0.40136,                 1.1405,                0.97212,                0.99214,                0.98424,                0.83686,                0.69022,                0.29964,                 1.0478,               0.002278,               0.002278,               0.002278
                     81,                0.86986,                0.40473,                 1.1283,                0.97606,                0.99056,                0.98345,                0.83753,                0.68956,                0.30858,                 1.0514,               0.002179,               0.002179,               0.002179
                     82,                0.86727,                0.39965,                 1.1315,                 0.9815,                0.98627,                0.98362,                0.83576,                0.68856,                0.29995,                 1.0513,                0.00208,                0.00208,                0.00208
                     83,                0.86154,                0.39493,                 1.1311,                0.97796,                0.98703,                0.98362,                 0.8353,                0.69928,                0.30017,                 1.0573,               0.001981,               0.001981,               0.001981
                     84,                0.85695,                0.39121,                 1.1226,                0.97948,                0.98882,                0.98323,                0.84178,                0.68163,                0.29099,                 1.0405,               0.001882,               0.001882,               0.001882
